username,activity,timestamp
user2,deleted file,2024-04-26T21:28:27.298Z
user2,uploaded file,2024-04-26T21:29:36.786Z
user,logged in,2024-04-26T21:33:57.002Z
user,Opened file,1_Die_Hunger.txt,2024-04-26T21:51:14.085Z
user,Opened file,1_Die_Hunger.txt,2024-04-26T21:51:50.565Z
user,Opened file,1_Die_Hunger.txt,2024-04-26T22:09:59.062Z
user,looked up word,1_Die_Hunger.txt,2024-04-26T22:10:07.731Z
user,looked up word,1_Die_Hunger.txt,2024-04-26T22:10:34.607Z
user,Opened file,1_Die_Hunger.txt,2024-04-26T22:11:58.812Z
user,opened file,1_dict_sample3.txt,2024-04-26T22:14:51.253Z
user,logged in,,2024-04-26T22:25:18.439Z
user,uploaded file,,2024-04-26T22:25:29.653Z
user,opened file,1_Die_Hunger.txt,2024-04-26T22:25:35.365Z
user,looked up word,1_Die_Hunger.txt,2024-04-26T22:25:40.981Z
